crop,country_iso,geo_level,geo_id,geo_display_name,metric_date,TELLUSCHIN
soy,ARG,level_1,00,ARGENTINA,2018-02-01,0.375948
soy,ARG,level_2,01,BUENOS AIRES,2018-02-01,0.357215
soy,ARG,level_2,02,CÃRDOBA,2018-02-01,0.434691
soy,ARG,level_2,04,CHACO,2018-02-01,0.162087
soy,ARG,level_2,08,ENTRE RÃOS,2018-02-01,0.330726
soy,ARG,level_2,11,LA PAMPA,2018-02-01,0.282376
soy,ARG,level_2,17,SALTA,2018-02-01,0.186105
soy,ARG,level_2,21,SANTA FE,2018-02-01,0.489477
soy,ARG,level_2,22,SANTIAGO DEL ESTERO,2018-02-01,0.174299
